Restaurant Name,Address,Category,Rating,Number of Reviews,Price($),Price(1-5),Latitude,Longitude
Prospect Point,5601 Stanley Park Drive,Cafes,3.5,82,$$,2,49.3128081868922,-123.142869863626
Johnny’s On Oak,3838 Oak Street,Italian,4.5,5,,0,49.25143,-123.12723
The Beeba Boys,8265 Oak St,Halal,4.0,2,,0,49.2109749,-123.1303249
Coquette,2685 Arbutus Street,Brasseries,4.5,6,,0,49.26212,-123.15324
East Is East,3035 west Broadway,Middle Eastern,4.0,291,$$,2,49.26430118353472,-123.1726934
Fable Diner and Bar,755 Richards Street,Diners,4.0,4,,0,49.28081479999999,-123.1171994
Isetta Cafe Bistro,4360 Marine Drive,Cafes,4.5,12,,0,49.34045457184317,-123.23974695056675
World Malatang,4320 West  47th Avenue,Hot Pot,2.5,11,,0,49.2288591648701,-123.155003379079
Caffe Cittadella,2310 Ash Street,Coffee & Tea,4.0,156,$$,2,49.264809386635505,-123.11726668221056
Whole Food Market,510 W 8th Avenue,Coffee & Tea,4.0,18,$,1,49.2640495,-123.1150513
Bao Down Gastropub + Raw bar,115 2nd Avenue W,Thai,3.0,240,$$,2,49.2694405,-123.1070806
Truck Stop Cafe,1046 Clark Drive,Cafes,4.0,19,,0,49.2754522,-123.0771151
Tenton,1731 Marine Drive,Ramen,4.5,24,,0,49.32888,-123.16099
The Cascade Room,2616 Main Street,Pubs,4.0,230,$$,2,49.2617,-123.10062
Word.,555 Great Northern Way,Seafood,5.0,1,,0,49.2669229,-123.0918816
El Mercat,401 Industrial Avenue,Spanish,4.0,1,,0,49.26999,-123.09588
Ignite Pizzeria,987 Mainland Street,Pizza,5.0,12,,0,49.27724,-123.11858
ubuntu canteen,4194 Fraser St,Cafes,4.0,41,,0,49.2475056265672,-123.08996065297
Sal y Limón,701 Kingsway Street,Mexican,4.0,643,$$,2,49.2569043786921,-123.08924632997
Sciué,101 Robson St,Pizza,4.0,16,$,1,49.2778975,-123.1141781
Gotham Steakhouse & Bar,615 Seymour Street,Steakhouses,4.0,407,$$$$,4,49.2829254,-123.115793
LOT185 Cafe + Wine Bar,78-1055 Canada Place,Cafes,4.5,9,,0,49.28971,-123.11607
Basil Pasta Bar,636 Davie Street,Italian,3.5,397,$$,2,49.2765809,-123.1255818
Roosh,2 Water Street,Fondue,4.0,10,,0,49.2833758,-123.1043507
Fish And  Chips,Seaside Bicycle Route,Seafood,0.0,0,,0,49.2786521911621,-123.14493560791
bb.q Chicken,1517 Robson Street,Barbeque,4.5,7,,0,49.28907416276772,-123.13127808272839
